as_of,method,match_no,confirmed_fixture,predicted_fixture,correct_fixture,correct_display_order,confirmed_teams_in_this_slot,missing_confirmed_teams,extra_predicted_teams,confirmed_fixture_predicted_in_slot
2026-06-25,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-25,modal-group-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-25,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-25,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-25,modal-group-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-26,expected-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-26,expected-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-26,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-26,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-26,expected-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-26,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-26,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-26,expected-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-26,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-26,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-26,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-26,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-26,expected-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-26,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-26,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-26,expected-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-26,modal-group-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-26,modal-group-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-26,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-26,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-26,modal-group-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-26,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-26,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-26,modal-group-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-26,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-26,modal-group-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-26,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-26,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-26,modal-group-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-26,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-26,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-26,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-27,expected-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-27,expected-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-27,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-27,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-27,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-27,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-27,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-27,expected-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-27,expected-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-27,expected-table,82,Belgium v Senegal,Belgium v Senegal,yes,yes,2,-,-,-
2026-06-27,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-27,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-27,expected-table,85,Switzerland v Algeria,Switzerland v Algeria,yes,yes,2,-,-,-
2026-06-27,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-27,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-27,expected-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-27,modal-group-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-27,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-27,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-27,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-27,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-27,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-27,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-27,modal-group-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-27,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-27,modal-group-table,82,Belgium v Senegal,Belgium v Senegal,yes,yes,2,-,-,-
2026-06-27,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-27,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-27,modal-group-table,85,Switzerland v Algeria,Switzerland v Algeria,yes,yes,2,-,-,-
2026-06-27,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-27,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-27,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
